instance,optimum
XML100_1153_16,14817
XML100_1153_17,12534
XML100_1153_18,18344
XML100_1153_19,15241
XML100_1153_20,15466
XML100_1153_21,17503
XML100_1153_22,19795
XML100_1153_23,17423
XML100_1153_24,18610
XML100_1153_25,12260
XML100_1153_26,16575
XML100_1153_27,14618
XML100_1154_01,12332
XML100_1154_02,13896
XML100_1154_03,10930
XML100_1154_04,12225
XML100_1154_05,13223
XML100_1154_06,14262
XML100_1154_07,15791
XML100_1154_08,14399
XML100_1154_09,15012
XML100_1154_10,11718
XML100_1154_11,14228
XML100_1154_12,14943
XML100_1154_13,15528
XML100_1154_14,16123
XML100_1154_15,12275
XML100_1154_16,12283
XML100_1154_17,12858
XML100_1154_18,12111
XML100_1154_19,10992
XML100_1154_20,10946
XML100_1154_21,11993
XML100_1154_22,13923
XML100_1154_23,13692
XML100_1154_24,13858
XML100_1154_25,13473
XML100_1154_26,12222
XML100_1154_27,13239
XML100_1155_01,11212
XML100_1155_02,9260
XML100_1155_03,10870
XML100_1155_04,11576
XML100_1155_05,10067
XML100_1155_06,11315
XML100_1155_07,10561
XML100_1155_08,11274
XML100_1155_09,11325
XML100_1155_10,9225
XML100_1155_11,9607
XML100_1155_12,12050
XML100_1155_13,10212
XML100_1155_14,9822
XML100_1155_15,11680
XML100_1155_16,9463
XML100_1155_17,9326
XML100_1155_18,11414
XML100_1155_19,11446
XML100_1155_20,10264
XML100_1155_21,10148
XML100_1155_22,12197
XML100_1155_23,10659
XML100_1155_24,11154
XML100_1155_25,10244
XML100_1155_26,9932
XML100_1155_27,9793
XML100_1156_01,8124
XML100_1156_02,8701
XML100_1156_03,9561
XML100_1156_04,8740
XML100_1156_05,8790
XML100_1156_06,8098
XML100_1156_07,8320
XML100_1156_08,8630
XML100_1156_09,8500
XML100_1156_10,8745
XML100_1156_11,8873
XML100_1156_12,8328
XML100_1156_13,8501
XML100_1156_14,8696
XML100_1156_15,8386
XML100_1156_16,8727
XML100_1156_17,8290
XML100_1156_18,8686
XML100_1156_19,8199
XML100_1156_20,8390
XML100_1156_21,9102
XML100_1156_22,8559
XML100_1156_23,8852
XML100_1156_24,9385
XML100_1156_25,8555
XML100_1156_26,8740
XML100_1156_27,8441
XML100_1161_01,22010
XML100_1161_02,26121
XML100_1161_03,32320
XML100_1161_04,29888
XML100_1161_05,30717
XML100_1161_06,40093
XML100_1161_07,37598
XML100_1161_08,33069
XML100_1161_09,37424
XML100_1161_10,31609
XML100_1161_11,23469
XML100_1161_12,22803
XML100_1161_13,30634
XML100_1161_14,25373
XML100_1161_15,25486
XML100_1161_16,32909
XML100_1161_17,27142
XML100_1161_18,36586
XML100_1161_19,36358
XML100_1161_20,28646
XML100_1161_21,31189
XML100_1161_22,31585
XML100_1161_23,36318
XML100_1161_24,38733
XML100_1161_25,23388
XML100_1161_26,36544
XML100_1161_27,33259
XML100_1162_01,25962
XML100_1162_02,24394
XML100_1162_03,17061
XML100_1162_04,18932
XML100_1162_05,18286
XML100_1162_06,20680
XML100_1162_07,17374
XML100_1162_08,19485
XML100_1162_09,24815
XML100_1162_10,21442
XML100_1162_11,20126
XML100_1162_12,28811
XML100_1162_13,16998
XML100_1162_14,16858
XML100_1162_15,16245
XML100_1162_16,18600
XML100_1162_17,19048
XML100_1162_18,19782
XML100_1162_19,21040
XML100_1162_20,19994
XML100_1162_21,28892
XML100_1162_22,25763
XML100_1162_23,22955
XML100_1162_24,23756
XML100_1162_25,24576
XML100_1162_26,19433
XML100_1162_27,18901
XML100_1163_01,15563
XML100_1163_02,18959
XML100_1163_03,13652
XML100_1163_04,16796
XML100_1163_05,13911
XML100_1163_06,13849
XML100_1163_07,13555
XML100_1163_08,12863
XML100_1163_09,17113
XML100_1163_10,18512
XML100_1163_11,13898
XML100_1163_12,14995
XML100_1163_13,14552
XML100_1163_14,15214
XML100_1163_15,19048
XML100_1163_16,19739
XML100_1163_17,17708
XML100_1163_18,15539
XML100_1163_19,16868
XML100_1163_20,13802
XML100_1163_21,13923
XML100_1163_22,14947
XML100_1163_23,19104
XML100_1163_24,16299
XML100_1163_25,15698
XML100_1163_26,18119
XML100_1163_27,14449
XML100_1164_01,12973
XML100_1164_02,13492
XML100_1164_03,12649
XML100_1164_04,13523
XML100_1164_05,11571
XML100_1164_06,13779
XML100_1164_07,14211
XML100_1164_08,13110
XML100_1164_09,12692
XML100_1164_10,11700
XML100_1164_11,11940
XML100_1164_12,12220
XML100_1164_13,11349
XML100_1164_14,11066
XML100_1164_15,12861
XML100_1164_16,13828
XML100_1164_17,13597
XML100_1164_18,12852
XML100_1164_19,10983
XML100_1164_20,12763
XML100_1164_21,10715
XML100_1164_22,14169
XML100_1164_23,11529
XML100_1164_24,11710
XML100_1164_25,12219
XML100_1164_26,14990
XML100_1164_27,12298
XML100_1165_01,9519
XML100_1165_02,10933
XML100_1165_03,9863
XML100_1165_04,9533
XML100_1165_05,10933
XML100_1165_06,10824
XML100_1165_07,12589
XML100_1165_08,9788
XML100_1165_09,12204
XML100_1165_10,10692
XML100_1165_11,11850
XML100_1165_12,9904
XML100_1165_13,9704
XML100_1165_14,12413
XML100_1165_15,10108
XML100_1165_16,11812
XML100_1165_17,10071
XML100_1165_18,10786
XML100_1165_19,9152
XML100_1165_20,10127
XML100_1165_21,10954
XML100_1165_22,11311
XML100_1165_23,10179
XML100_1165_24,10519
XML100_1165_25,10926
XML100_1165_26,10066
XML100_1165_27,10846
XML100_1166_01,8759
XML100_1166_02,9083
XML100_1166_03,8693
XML100_1166_04,8837
XML100_1166_05,8758
XML100_1166_06,9222
XML100_1166_07,9839
XML100_1166_08,8624
XML100_1166_09,9320
XML100_1166_10,8720
XML100_1166_11,9223
XML100_1166_12,8141
XML100_1166_13,8563
XML100_1166_14,9317
XML100_1166_15,9201
XML100_1166_16,9390
XML100_1166_17,8644
XML100_1166_18,8263
XML100_1166_19,8466
XML100_1166_20,8505
XML100_1166_21,8140
XML100_1166_22,9465
XML100_1166_23,9368
XML100_1166_24,8517
XML100_1166_25,8689
XML100_1166_26,8120
XML100_1166_27,8633
XML100_1171_01,36849
XML100_1171_02,28790
XML100_1171_03,26311
XML100_1171_04,26252
XML100_1171_05,39996
XML100_1171_06,45388
XML100_1171_07,31885
XML100_1171_08,26115
XML100_1171_09,47406
XML100_1171_10,33938
XML100_1171_11,21620
XML100_1171_12,33296
XML100_1171_13,42233
XML100_1171_14,27780
XML100_1171_15,35360
XML100_1171_16,31536
XML100_1171_17,22071
XML100_1171_18,44221
XML100_1171_19,28384
XML100_1171_20,42486
XML100_1171_21,33718
XML100_1171_22,28382
XML100_1171_23,36016
XML100_1171_24,45941
XML100_1171_25,31819
XML100_1171_26,21664
XML100_1171_27,40853
XML100_1172_01,21566
XML100_1172_02,27405
XML100_1172_03,24249
XML100_1172_04,21181
XML100_1172_05,15724
XML100_1172_06,18010
XML100_1172_07,33826
XML100_1172_08,20885
XML100_1172_09,16358
XML100_1172_10,22465
XML100_1172_11,18672
XML100_1172_12,22635
XML100_1172_13,32218
XML100_1172_14,16822
XML100_1172_15,26134
XML100_1172_16,26993
XML100_1172_17,18443
XML100_1172_18,24902
XML100_1172_19,16900
XML100_1172_20,20839
XML100_1172_21,20970
XML100_1172_22,24050
XML100_1172_23,19515
XML100_1172_24,24219
XML100_1172_25,17642
XML100_1172_26,25887
XML100_1172_27,19095
XML100_1173_01,13342
XML100_1173_02,13964
XML100_1173_03,14397
XML100_1173_04,14076
XML100_1173_05,18148
XML100_1173_06,13953
XML100_1173_07,16526
XML100_1173_08,16451
XML100_1173_09,11848
XML100_1173_10,14097
XML100_1173_11,15213
XML100_1173_12,15323
XML100_1173_13,18046
XML100_1173_14,13569
XML100_1173_15,18465
XML100_1173_16,18326
XML100_1173_17,13670
XML100_1173_18,14986
XML100_1173_19,18701
XML100_1173_20,14921
XML100_1173_21,13061
XML100_1173_22,17762
XML100_1173_23,16484
XML100_1173_24,14439
XML100_1173_25,15367
XML100_1173_26,17777
XML100_1173_27,14659
XML100_1174_01,12490
XML100_1174_02,12830
XML100_1174_03,12913
XML100_1174_04,12661
XML100_1174_05,12683
XML100_1174_06,11859
XML100_1174_07,14160
XML100_1174_08,13182
XML100_1174_09,12991
XML100_1174_10,11981
XML100_1174_11,12001
XML100_1174_12,12288
XML100_1174_13,10868
XML100_1174_14,10954
XML100_1174_15,11771
XML100_1174_16,12470
XML100_1174_17,15395
XML100_1174_18,12258
XML100_1174_19,11144
XML100_1174_20,12727
XML100_1174_21,13372
XML100_1174_22,11736
XML100_1174_23,14159
XML100_1174_24,13696
XML100_1174_25,14151
XML100_1174_26,12903
XML100_1174_27,13145
XML100_1175_01,11552
XML100_1175_02,9640
XML100_1175_03,10867
XML100_1175_04,8955
XML100_1175_05,9511
XML100_1175_06,9518
XML100_1175_07,9170
XML100_1175_08,10932
XML100_1175_09,11247
XML100_1175_10,11438
XML100_1175_11,10513
XML100_1175_12,11006
XML100_1175_13,9875
XML100_1175_14,8927
XML100_1175_15,10719
XML100_1175_16,9968
XML100_1175_17,11464
XML100_1175_18,11102
XML100_1175_19,11651
XML100_1175_20,9814
XML100_1175_21,9326
XML100_1175_22,10816
XML100_1175_23,10117
XML100_1175_24,10141
XML100_1175_25,11042
XML100_1175_26,12651
XML100_1175_27,9379
XML100_1176_01,8272
XML100_1176_02,8567
XML100_1176_03,8907
XML100_1176_04,8856
XML100_1176_05,9573
XML100_1176_06,9352
XML100_1176_07,8864
XML100_1176_08,9799
XML100_1176_09,9105
XML100_1176_10,9332
XML100_1176_11,8131
XML100_1176_12,9126
XML100_1176_13,9840
XML100_1176_14,9413
XML100_1176_15,8827
XML100_1176_16,8964
XML100_1176_17,8793
XML100_1176_18,9540
XML100_1176_19,8567
XML100_1176_20,8886
XML100_1176_21,8769
XML100_1176_22,8879
XML100_1176_23,8241
XML100_1176_24,8556
XML100_1176_25,8738
XML100_1176_26,9184
XML100_1176_27,8676
XML100_1211_01,44590
XML100_1211_02,59187
XML100_1211_03,34590
XML100_1211_04,24601
XML100_1211_05,39139
XML100_1211_06,32632
XML100_1211_07,42832
XML100_1211_08,26518
XML100_1211_09,29220
XML100_1211_10,41618
XML100_1211_11,45515
XML100_1211_12,31452
XML100_1211_13,32948
XML100_1211_14,14874
XML100_1211_15,16187
XML100_1211_16,30124
XML100_1211_17,9387
XML100_1211_18,27181
XML100_1211_19,23808
XML100_1211_20,35841
XML100_1211_21,23174
XML100_1211_22,23386
XML100_1211_23,54144
XML100_1211_24,33265
XML100_1211_25,32912
XML100_1211_26,38538
XML100_1211_27,27610
XML100_1212_01,28888
XML100_1212_02,10260
XML100_1212_03,13778
XML100_1212_04,22310
